phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
9,11,46,9,13,52,9,15,56,11,7,56
9,11,42,9,13,49,9,14,58,1,7,58
9,11,41,9,12,48,9,14,58,1,6,60
9,12,40,9,14,42,9,17,65,11,8,71
9,15,44,9,17,51,9,19,71,11,8,67
9,18,47,9,20,56,9,19,69,11,8,64
9,20,51,9,20,59,9,19,70,1,7,64
9,20,54,9,20,55,9,19,66,11,7,64
9,20,61,9,20,59,9,19,72,9,9,72
9,20,53,9,20,52,9,20,66,11,7,56
9,20,51,9,20,50,9,19,70,11,7,60
9,20,45,9,20,40,9,19,64,11,7,57
9,20,43,9,20,44,9,19,67,11,8,60
9,20,53,9,20,52,9,19,70,11,7,65
9,20,58,9,20,57,9,19,73,11,8,69
9,20,50,9,20,49,9,19,67,11,7,60
9,20,57,9,20,58,9,19,72,9,8,67
9,20,54,9,20,54,9,19,71,11,7,61
9,20,61,9,20,60,9,20,75,1,7,67
9,20,62,9,20,59,9,19,64,1,6,55
9,20,62,9,20,60,9,19,67,1,7,60
9,20,63,9,20,58,9,20,72,9,14,79
9,20,60,9,20,52,9,19,71,15,14,69
9,20,71,9,20,54,9,19,72,15,12,73
9,20,66,9,20,53,9,19,69,15,11,66
9,20,65,9,20,55,9,19,77,9,12,80
9,20,57,9,20,43,9,19,69,5,9,70
9,20,58,9,20,48,9,19,73,9,11,75
9,20,61,9,20,53,9,19,65,11,7,60
9,20,60,9,20,55,9,19,64,9,12,62
9,20,51,9,20,49,9,19,57,11,7,58
9,20,49,9,20,48,9,19,56,12,7,53
9,20,62,9,20,60,9,19,67,9,13,71
9,20,55,9,20,57,9,19,64,1,7,69
9,20,61,9,20,65,9,19,72,9,13,78
9,20,55,9,20,60,9,19,67,1,8,72
9,20,67,9,20,70,9,19,71,9,16,76
9,20,55,9,20,60,9,19,62,1,7,62
9,20,56,9,20,59,9,19,67,1,8,63
9,20,50,9,20,52,9,19,63,1,7,62
9,20,52,9,20,57,9,19,64,9,13,68
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,6,37,1,5,33,1,5,45
7,5,29,7,5,39,9,5,33,1,5,41
5,4,26,7,4,27,9,5,32,11,5,37
5,4,28,9,6,29,9,6,32,1,5,36
9,5,30,9,7,35,9,7,36,11,6,40
9,8,34,9,9,40,9,9,37,1,5,46
9,6,40,9,7,41,9,8,37,1,5,46
7,6,42,7,6,43,9,7,35,11,5,42
17,6,39,7,6,44,9,7,36,1,5,45
7,7,38,7,8,47,9,8,40,1,5,43
15,6,35,7,5,37,9,7,36,1,5,45
15,6,35,7,6,40,9,6,40,11,7,51
15,7,35,7,6,35,9,6,40,1,7,55
5,8,39,7,6,34,9,8,44,1,7,56
5,7,42,7,7,37,9,7,42,1,6,53
5,8,44,7,7,40,9,7,42,1,7,53
5,7,43,7,7,41,9,8,46,1,6,56
5,10,48,7,7,43,9,8,46,1,7,59
5,8,47,7,7,41,9,9,52,1,6,58
5,8,39,7,5,36,9,5,39,11,6,52
5,7,36,7,5,34,11,6,42,11,7,51
5,6,37,7,6,34,1,5,40,11,7,57
7,7,45,7,8,42,9,6,45,11,7,55
5,7,39,7,6,42,9,7,44,11,7,54
5,7,35,9,7,40,9,9,47,1,6,56
5,7,44,7,6,39,9,8,52,11,7,60
15,8,39,7,7,34,9,7,41,1,7,60
15,8,41,7,6,42,9,6,43,1,6,53
15,10,41,7,6,38,9,6,46,15,7,56
15,10,37,7,5,33,9,7,43,15,8,55
15,11,38,9,6,36,9,8,52,15,10,57
15,13,38,9,5,34,15,9,53,15,12,61
15,14,37,7,4,28,15,8,46,15,10,55
15,11,38,7,5,35,9,7,50,15,8,59
15,10,39,9,6,37,9,7,51,1,7,55
5,10,35,9,9,32,9,11,51,1,6,53
5,9,36,9,8,31,9,10,51,1,6,53
9,7,38,9,9,42,9,11,49,11,7,50
9,8,37,9,11,46,9,14,58,11,6,50
9,9,35,9,11,42,9,12,54,11,7,54
9,10,33,9,12,40,9,13,58,11,7,51
9,12,41,9,13,44,9,15,56,12,7,51
9,13,38,9,14,47,9,17,57,11,8,58
9,11,41,9,13,47,9,16,66,11,8,70
9,14,46,9,17,50,9,19,64,1,7,66
9,17,48,9,19,62,9,19,66,1,7,62
9,19,54,9,20,62,9,20,69,11,7,62
9,18,52,9,20,55,9,20,65,11,8,61
9,17,49,9,18,51,9,19,61,1,7,62
0,0,0,1,2,8,11,4,25,1,4,35
5,5,30,7,5,31,9,5,35,1,5,37
5,5,32,7,5,37,9,6,38,1,5,44
9,6,33,9,7,32,9,9,42,1,6,47
9,7,35,9,9,34,9,9,40,1,5,46
7,5,33,9,6,31,9,8,35,1,5,41
7,5,33,9,6,38,9,8,38,1,6,47
7,5,34,7,6,44,9,5,41,11,6,53
7,7,40,7,7,47,9,7,41,1,5,48
9,6,39,9,8,48,9,8,40,11,6,47
7,5,34,7,6,44,9,7,37,1,5,41
7,5,30,7,6,44,9,5,37,1,5,47
15,6,29,8,7,44,1,5,39,11,7,49
7,6,30,7,7,41,9,6,36,1,6,47
5,5,30,7,7,42,9,8,41,1,6,50
7,6,34,9,8,47,9,9,46,1,6,53
9,7,37,9,10,51,9,10,46,1,5,45
9,7,39,9,9,47,9,9,45,1,5,48
9,9,38,9,11,49,9,13,52,1,5,49
9,10,41,9,12,53,9,14,56,11,6,51
9,13,41,9,16,54,9,17,56,1,6,55
9,14,36,9,15,46,9,15,47,11,6,45
9,8,29,9,10,42,9,9,45,11,6,42
9,7,24,9,9,43,9,9,44,11,6,43
9,7,39,9,9,48,9,10,48,1,7,46
9,9,38,9,10,46,9,12,48,1,5,41
9,10,35,9,12,48,9,13,52,11,7,52
9,12,42,9,14,49,9,14,45,1,5,45
9,9,41,9,11,50,9,13,47,1,5,48
9,10,44,9,11,53,9,13,49,1,6,54
9,9,44,9,11,54,9,12,46,11,7,49
9,8,43,9,10,50,9,10,42,1,6,47
15,8,45,9,9,56,9,9,43,11,7,54
15,8,41,9,8,54,9,9,46,1,7,50
15,8,35,7,6,51,1,5,42,1,6,47
15,8,33,8,7,51,1,5,43,1,6,45
7,5,33,7,6,47,9,6,40,11,6,48
5,6,38,9,8,49,9,8,38,1,6,48
5,8,38,9,11,42,9,11,47,11,7,46
5,9,39,9,12,48,9,14,54,1,6,50
9,12,44,9,16,63,9,16,56,11,8,54
9,19,48,9,20,66,9,19,61,1,6,54
9,20,55,9,20,65,9,19,65,11,7,59
9,20,51,9,20,65,9,19,62,12,8,58
9,20,54,9,20,67,9,19,59,11,7,55
9,20,53,9,20,72,9,19,61,9,9,63
9,20,53,9,20,72,9,19,60,1,7,60
9,20,58,9,20,74,9,19,65,1,7,65
9,20,62,9,20,96,9,19,96,15,14,87
9,20,109,9,20,135,9,20,144,9,20,156
0,0,0,11,3,17,11,4,25,1,4,35
5,5,29,7,4,30,1,4,30,1,5,36
7,5,25,7,5,32,9,5,36,1,5,43
15,5,31,7,5,33,9,5,35,11,5,37
9,6,24,9,8,30,9,8,37,11,5,34
9,6,26,9,7,28,9,8,35,11,5,37
5,4,28,9,5,36,9,7,41,1,5,39
7,5,34,7,5,37,9,6,36,11,5,37
9,5,33,9,7,43,9,8,42,1,5,44
9,8,39,9,9,49,9,11,45,1,6,47
9,10,42,9,11,52,9,13,47,11,6,47
9,10,41,9,11,49,9,12,50,1,5,46
9,11,41,9,12,50,9,13,52,1,6,49
9,13,41,9,14,45,9,16,49,11,6,52
9,14,45,9,17,51,9,18,57,1,6,54
9,15,51,9,17,54,9,18,55,1,6,47
9,17,46,9,19,54,9,19,56,11,6,45
9,17,49,9,19,55,9,19,49,11,6,44
9,18,48,9,19,54,9,19,45,9,7,47
9,20,49,9,20,53,9,20,52,1,5,43
9,20,44,9,20,56,9,20,53,1,5,44
9,20,49,9,20,56,9,20,58,9,7,47
9,20,40,9,20,53,9,19,55,11,6,45
9,20,41,9,20,54,9,19,53,1,6,47
9,19,44,9,20,58,9,19,53,11,6,44
9,18,46,9,20,59,9,19,58,2,6,49
9,18,48,9,20,60,9,19,55,11,6,48
9,20,44,9,20,60,9,19,57,11,6,51
9,20,46,9,20,58,9,20,57,11,6,47
9,20,48,9,20,62,9,19,56,1,6,50
9,20,48,9,20,59,9,19,55,11,6,52
9,20,49,9,20,63,9,19,54,1,6,50
9,20,47,9,20,69,9,20,64,11,7,54
9,20,47,9,20,67,9,19,60,1,6,50
9,20,53,9,20,73,9,19,67,9,13,65
9,20,53,9,20,70,9,20,63,1,7,56
9,20,43,9,20,59,9,20,62,1,6,53
9,20,45,9,20,64,9,20,58,1,6,48
9,20,45,9,20,67,9,20,65,11,7,52
9,20,47,9,20,62,9,20,66,12,8,63
9,20,42,9,20,55,9,20,65,9,14,67
9,20,44,9,20,64,9,19,63,1,6,56
9,20,47,9,20,68,9,19,60,12,7,54
9,20,53,9,20,72,9,19,69,9,17,69
9,20,49,9,20,64,9,19,65,9,15,63
9,20,52,9,20,63,9,19,54,11,6,47
9,20,48,9,20,61,9,19,55,1,6,55
9,20,55,9,20,78,9,19,65,9,15,77
9,20,58,9,20,74,9,19,65,9,8,70
9,20,59,9,20,76,9,19,57,1,6,52
0,0,0,11,3,17,1,4,35,1,5,42
5,5,26,7,6,34,9,5,36,1,5,43
15,5,26,7,5,33,9,6,36,1,5,42
5,4,28,9,5,35,9,6,41,11,6,47
5,5,29,9,6,30,9,8,45,1,6,52
5,5,29,7,4,29,1,5,43,1,6,47
7,5,32,9,6,34,9,7,43,1,6,51
5,5,33,9,7,40,9,9,51,11,7,58
9,6,36,9,7,43,9,9,49,1,6,57
9,8,40,9,10,42,9,11,52,12,7,55
9,10,37,9,11,43,9,12,55,1,7,60
9,10,39,9,11,47,9,12,52,11,7,50
9,11,38,9,13,39,9,16,55,1,6,50
9,13,41,9,16,49,9,17,63,11,8,63
9,16,44,9,19,47,9,19,62,1,6,55
9,18,47,9,20,53,9,19,63,1,6,56
9,19,45,9,20,49,9,19,57,1,5,46
9,19,49,9,20,54,9,20,60,9,7,58
9,20,50,9,20,58,9,19,58,1,6,52
9,20,49,9,20,55,9,19,55,11,6,43
9,20,46,9,20,56,9,19,58,11,6,48
9,20,41,9,20,51,9,19,53,9,8,49
9,20,38,9,20,46,9,19,49,11,7,37
9,19,41,9,20,49,9,19,54,11,6,44
9,19,43,9,20,57,9,20,57,11,6,48
9,17,39,9,19,55,9,19,57,11,6,49
9,18,40,9,20,60,9,19,56,11,7,47
9,19,39,9,20,56,9,19,56,1,6,50
9,19,43,9,20,61,9,19,58,11,6,47
9,18,44,9,20,61,9,20,57,1,6,52
9,18,42,9,20,63,9,19,58,11,6,49
9,18,45,9,20,63,9,19,52,11,6,45
9,16,40,9,19,51,9,19,49,9,6,44
9,18,42,9,20,52,9,19,53,1,6,49
9,20,43,9,20,56,9,19,57,11,7,54
9,20,50,9,20,54,9,20,60,1,6,51
9,20,46,9,20,54,9,19,56,1,6,49
9,20,46,9,20,51,9,19,54,1,6,47
9,20,52,9,20,56,9,19,56,9,6,50
9,20,51,9,20,50,9,19,55,1,6,50
9,20,47,9,20,47,9,19,61,12,7,54
9,20,51,9,20,55,9,19,61,9,9,55
9,20,49,9,20,62,9,19,62,11,7,54
9,20,58,9,20,61,9,19,60,9,10,55
9,20,46,9,20,52,9,19,54,11,7,50
9,20,52,9,20,63,9,19,58,9,9,57
9,20,52,9,20,57,9,19,55,1,6,52
9,20,53,9,20,61,9,19,59,9,15,63
9,20,52,9,20,61,9,19,60,9,7,56
9,20,52,9,20,57,9,19,55,1,6,49
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,6,37,1,5,36,1,6,45
7,5,25,7,6,36,9,5,34,11,6,45
5,5,30,9,5,35,9,7,40,11,6,42
5,4,27,9,6,29,9,6,33,1,5,39
5,4,26,7,5,41,9,5,39,1,5,45
7,5,34,7,6,47,1,5,47,11,6,50
5,5,33,7,6,53,9,7,47,1,6,51
7,5,36,7,7,52,9,7,46,1,6,51
7,6,41,9,8,57,9,9,54,11,7,51
9,7,35,9,9,52,9,10,52,1,6,54
9,9,35,9,11,54,9,13,53,1,8,52
9,10,33,9,12,43,9,14,53,11,6,46
9,11,37,9,13,48,9,14,56,1,6,50
9,13,39,9,15,51,9,16,53,1,6,50
9,16,45,9,19,55,9,19,60,1,6,52
9,18,52,9,20,61,9,19,58,9,7,53
9,20,54,9,20,65,9,19,58,12,7,56
9,20,52,9,20,57,9,19,59,9,8,59
9,20,54,9,20,63,9,19,61,11,6,54
9,20,51,9,20,53,9,19,62,11,7,51
9,20,49,9,20,56,9,19,62,11,7,59
9,20,55,9,20,60,9,19,69,11,8,62
9,20,60,9,20,65,9,19,72,9,14,72
9,20,52,9,20,60,9,19,62,9,7,55
9,20,50,9,20,58,9,19,64,1,6,56
9,20,51,9,20,60,9,19,64,11,7,58
9,20,53,9,20,59,9,19,65,1,6,54
9,20,54,9,20,66,9,19,63,1,6,55
9,20,64,9,20,75,9,19,71,9,13,65
9,20,56,9,20,66,9,19,63,1,7,57
9,20,68,9,20,72,9,20,74,9,17,74
9,20,60,9,20,65,9,19,66,9,18,72
9,20,60,9,20,61,9,20,64,1,6,54
9,20,52,9,20,61,9,19,63,11,7,61
9,20,62,9,20,65,9,19,77,9,14,77
9,20,52,9,20,60,9,19,71,11,8,70
9,20,59,9,20,77,9,19,72,11,8,66
9,20,68,9,20,88,9,20,88,9,15,79
9,19,61,9,19,76,9,18,88,9,14,85
9,20,67,9,20,86,9,20,73,11,8,75
9,20,74,9,20,94,9,19,75,9,11,80
9,20,60,9,20,80,9,19,72,9,10,80
9,20,60,9,20,78,9,19,64,1,7,64
8,20,75,9,20,100,9,19,83,9,15,86
9,19,69,9,19,88,9,18,81,9,14,78
9,20,69,9,20,89,9,19,80,7,12,85
8,20,78,9,20,94,9,19,70,7,10,82
9,20,76,9,20,92,9,19,70,9,15,78
9,20,59,9,20,73,9,20,68,9,8,69
9,1,2,11,3,18,1,4,34,11,6,42
8,5,29,7,6,38,9,5,35,1,5,41
7,5,26,7,5,35,9,5,34,1,5,43
5,5,31,9,5,32,9,6,38,1,5,42
9,7,34,9,9,33,9,10,44,1,5,45
9,9,37,9,10,40,9,11,45,1,5,40
9,8,38,9,10,42,9,11,45,11,6,46
9,11,42,9,12,42,9,14,47,1,5,49
9,13,48,9,15,52,9,15,47,1,6,44
9,14,50,9,15,53,9,16,53,11,6,48
9,14,50,9,16,56,9,17,53,1,5,49
9,16,48,9,17,53,9,19,55,9,7,48
9,19,46,9,20,47,9,19,50,1,5,46
9,20,47,9,20,47,9,19,56,1,5,44
9,20,47,9,20,44,9,19,53,1,5,44
9,20,48,9,20,49,9,19,54,1,5,45
9,20,52,9,20,48,9,19,51,9,6,46
9,20,54,9,20,51,9,19,49,1,5,44
9,20,55,9,20,50,9,19,51,9,6,49
9,20,53,9,20,53,9,19,55,9,7,55
9,20,50,9,20,50,9,19,50,11,5,44
9,20,46,9,20,44,9,19,46,11,5,35
9,20,41,9,20,42,9,19,46,11,6,42
9,20,42,9,20,42,9,19,51,11,6,41
9,20,50,9,20,51,9,20,53,9,6,47
9,20,53,9,20,54,9,19,54,9,6,46
9,20,47,9,20,56,9,19,58,11,6,52
9,20,46,9,20,50,9,19,52,1,5,44
9,20,50,9,20,52,9,20,58,9,6,50
9,20,51,9,20,54,9,19,46,11,5,43
9,18,46,9,20,51,9,19,48,1,5,43
9,17,50,9,18,48,9,18,47,11,5,41
9,15,46,9,17,51,9,17,45,15,5,40
9,16,47,9,18,51,9,18,46,1,4,37
9,17,46,9,19,54,9,19,50,1,6,46
9,18,47,9,20,54,9,20,48,9,6,45
9,18,50,9,19,55,9,18,50,1,5,44
9,17,49,9,19,56,9,19,54,1,6,44
9,17,47,9,19,53,9,19,50,1,5,44
9,19,50,9,20,60,9,19,55,1,6,50
9,20,45,9,20,50,9,19,61,1,6,53
9,20,49,9,20,54,9,19,59,9,12,59
9,20,52,9,20,64,9,19,56,9,7,52
9,20,49,9,20,64,9,19,59,11,6,45
9,20,46,9,20,58,9,20,59,11,7,49
9,20,47,9,20,59,9,19,58,11,7,51
9,20,52,9,20,60,9,19,55,1,6,50
9,20,56,9,20,62,9,19,60,9,13,58
9,20,53,9,20,60,9,19,58,1,6,53
9,20,54,9,20,59,9,19,61,1,6,53
0,0,0,1,2,8,11,4,25,1,4,35
5,4,27,7,4,33,11,5,34,11,5,39
7,4,20,7,5,34,1,5,36,1,5,38
7,4,24,9,5,33,9,6,34,11,5,40
9,7,27,9,9,35,9,9,36,9,7,40
9,11,30,9,13,33,9,14,38,11,5,36
9,13,35,9,14,44,9,15,40,11,5,35
9,11,34,9,12,40,9,13,40,11,5,39
9,10,31,9,11,38,9,13,41,9,6,42
9,12,38,9,14,44,9,15,44,1,5,43
9,9,37,9,11,45,9,11,42,1,5,46
9,10,37,9,11,43,9,11,41,11,6,50
7,5,33,9,7,39,9,8,38,11,6,46
15,5,28,7,6,37,1,4,31,1,6,50
7,5,25,7,5,28,9,6,32,1,5,46
7,5,27,7,6,34,1,5,39,1,7,55
5,6,29,7,5,32,1,5,34,1,6,56
7,6,31,7,7,37,1,5,35,1,6,53
7,6,34,7,6,38,9,5,36,1,6,52
5,5,29,7,6,33,11,5,35,1,6,56
5,6,28,7,5,30,9,5,32,11,6,55
5,5,32,7,5,37,9,5,38,11,6,51
5,6,30,7,4,29,9,5,37,1,6,54
5,7,32,7,5,30,1,5,40,11,7,51
5,5,23,7,3,19,1,5,38,1,7,54
15,5,23,1,3,23,11,6,45,11,7,61
5,5,30,7,5,35,11,6,50,11,7,64
5,6,34,7,7,41,11,6,50,11,8,67
