phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
5,8,34,9,6,42,9,8,58,11,9,69
5,6,33,7,5,39,1,6,49,11,8,67
5,6,35,7,6,38,1,6,48,1,8,69
15,7,34,7,6,43,1,6,50,11,8,70
15,10,39,7,6,46,1,6,52,11,8,69
15,9,39,7,6,45,9,7,55,1,8,69
15,10,38,7,7,45,9,7,53,15,8,69
15,11,40,7,6,40,1,6,52,1,8,67
15,11,38,7,6,42,1,6,49,1,8,69
5,7,42,7,7,49,9,8,52,1,8,72
5,6,42,7,6,42,9,8,55,11,8,65
5,10,34,9,5,30,9,7,52,11,8,67
5,10,33,9,5,38,9,8,54,11,8,70
5,7,38,9,7,49,9,9,50,1,8,66
5,6,34,7,5,39,9,6,45,11,8,60
5,6,31,8,5,36,11,6,46,11,7,60
5,6,35,7,5,39,11,6,44,11,7,56
5,6,35,7,7,47,1,6,47,1,7,62
5,6,35,9,6,44,9,8,50,11,7,60
15,8,41,9,7,44,9,8,46,1,8,56
15,6,33,9,7,48,9,8,51,1,7,58
15,6,35,17,7,46,1,6,49,1,6,55
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,6,37,1,5,36,1,5,45
7,5,30,7,5,36,9,6,39,12,6,45
5,4,25,7,4,33,9,6,40,11,6,47
5,5,26,9,5,30,9,5,37,11,6,44
5,3,21,7,4,30,9,5,36,1,5,41
7,4,26,7,5,36,9,5,37,1,6,45
7,5,28,7,5,38,1,5,41,1,6,54
7,5,33,8,7,45,9,6,34,11,7,47
7,5,30,7,6,42,9,5,36,11,6,42
7,4,25,7,5,39,11,5,36,11,6,47
7,5,27,7,6,41,1,5,33,1,6,43
15,5,28,7,5,41,1,5,37,1,6,47
7,5,29,7,6,40,9,5,36,1,5,44
7,5,25,7,6,38,1,5,38,11,6,45
15,6,33,7,6,41,9,6,39,1,5,39
5,5,34,7,6,40,9,6,37,1,5,42
5,6,37,7,7,40,9,6,34,1,5,40
7,6,36,7,6,40,9,6,35,11,6,45
5,6,39,7,7,49,9,6,39,2,6,51
5,8,38,7,7,53,9,8,50,1,6,50
5,7,37,9,8,50,9,8,43,1,6,45
5,4,24,7,4,33,9,5,37,11,6,44
5,4,26,7,4,34,11,5,35,11,7,50
7,6,35,7,7,45,9,6,44,11,6,47
5,6,35,7,7,51,9,6,44,11,8,51
5,6,29,9,8,52,9,9,48,1,7,58
9,8,34,9,11,58,9,11,50,1,6,52
9,9,39,9,11,57,9,13,52,1,6,51
9,8,42,9,10,53,9,9,47,1,6,50
9,8,42,9,10,59,9,10,48,1,6,49
15,8,43,9,9,60,9,10,49,1,7,51
9,8,42,9,10,60,9,11,51,1,7,56
9,9,47,9,12,59,9,12,47,1,7,47
9,9,39,9,11,55,9,11,48,1,6,44
9,9,46,9,11,55,9,11,46,1,5,46
9,10,38,9,13,54,9,13,47,1,6,48
9,14,43,9,16,54,9,17,53,9,7,50
9,19,49,9,20,51,9,19,54,1,6,48
9,20,47,9,20,49,9,19,55,9,6,48
9,20,54,9,20,65,9,19,59,1,6,51
9,20,52,9,20,63,9,19,59,11,6,44
9,20,53,9,20,58,9,19,57,9,8,51
9,20,49,9,20,59,9,19,57,1,6,49
9,20,57,9,20,62,9,19,59,1,7,55
9,20,53,9,20,64,9,19,63,1,7,56
9,20,50,9,20,57,9,19,58,1,7,61
9,20,55,9,20,63,9,19,64,11,7,63
9,20,62,9,20,74,9,19,66,1,7,62
9,20,55,9,20,71,9,20,61,1,7,59
0,0,0,1,2,8,11,4,25,1,4,35
5,4,24,7,4,34,1,5,38,11,6,45
5,4,22,7,5,35,1,5,40,1,5,43
7,4,24,7,4,34,11,6,42,11,6,44
9,5,22,9,8,35,9,9,49,1,6,46
9,5,24,9,8,35,9,9,47,1,6,48
9,5,23,9,8,37,9,9,47,1,6,50
9,5,25,9,7,37,9,9,44,1,5,45
9,5,25,9,7,38,9,8,47,1,6,48
9,6,28,9,8,42,9,8,47,1,7,53
9,6,28,9,8,44,9,9,48,11,6,51
9,8,33,9,9,38,9,10,45,1,6,44
9,8,32,9,10,42,9,10,45,1,5,48
9,8,35,9,9,40,9,11,46,1,5,43
9,9,26,9,11,37,9,11,44,1,5,44
9,9,28,9,11,41,9,11,44,1,6,47
9,10,29,9,12,37,9,14,39,1,5,40
9,9,28,9,10,35,9,11,38,1,5,40
9,8,30,9,10,42,9,10,40,1,5,49
9,6,28,9,8,38,9,9,36,1,5,46
7,4,25,7,5,36,1,5,35,1,5,49
5,5,26,7,5,33,9,6,36,1,5,40
9,4,22,9,6,37,9,7,37,11,5,40
5,4,21,9,5,28,9,7,35,11,5,41
5,5,22,9,5,28,9,5,35,1,5,36
5,3,13,1,3,21,11,5,30,11,5,38
7,3,15,7,4,26,1,4,31,11,5,36
5,3,13,11,3,21,11,5,29,11,6,40
5,3,19,7,4,32,1,5,36,11,6,40
7,4,23,7,4,31,11,5,33,1,5,40
7,4,20,7,5,31,9,5,34,1,5,39
5,4,21,9,5,36,9,5,36,11,6,43
5,5,22,9,4,32,9,5,36,1,6,44
15,4,26,7,4,32,1,4,32,1,5,39
5,4,23,7,5,35,1,4,34,1,5,43
5,4,24,7,5,37,1,5,36,1,6,48
15,4,23,9,5,37,1,5,38,1,5,47
15,6,24,7,5,37,1,5,37,1,6,50
15,7,26,7,5,36,1,5,36,1,6,44
15,7,28,7,5,44,9,7,42,1,6,51
15,7,27,9,6,46,9,6,39,1,6,49
15,7,26,7,5,39,1,5,37,1,6,50
15,7,24,1,4,35,1,5,36,2,7,54
15,5,26,7,5,43,1,5,37,1,6,53
15,5,27,7,5,37,9,5,34,1,6,50
7,5,28,7,5,38,1,5,38,1,6,51
5,7,23,9,5,34,1,5,41,1,7,58
5,8,23,9,4,30,1,5,40,11,7,60
5,4,27,7,5,45,9,6,45,11,8,67
5,4,26,7,5,45,9,6,41,1,8,62
0,0,0,11,3,17,1,4,29,11,5,39
5,5,28,7,5,37,1,5,41,1,6,51
5,5,31,7,5,38,1,5,39,1,6,48
5,5,30,9,5,34,9,7,46,11,7,52
5,5,30,9,7,34,9,9,48,1,6,51
9,6,29,9,7,39,9,9,45,1,6,54
5,5,36,9,7,46,9,8,51,11,7,57
5,5,37,7,7,51,9,8,52,11,7,56
17,6,39,7,7,59,9,8,55,11,9,63
15,6,37,9,8,54,9,9,55,1,7,63
15,7,37,7,7,47,9,6,49,1,7,60
7,6,36,7,6,41,9,7,46,1,6,50
15,6,29,7,7,43,9,7,52,11,7,58
5,7,38,7,7,49,9,8,51,1,6,54
5,6,36,9,8,41,9,10,51,1,6,51
5,7,40,9,8,44,9,8,44,1,6,52
5,7,41,7,7,39,9,7,45,1,6,57
5,7,37,7,6,40,9,7,47,1,6,57
5,8,36,7,6,38,9,8,48,11,7,57
5,7,32,7,4,33,11,6,44,1,6,53
5,5,29,7,4,29,11,6,44,11,7,51
15,6,31,7,5,32,11,6,44,1,7,58
5,6,36,7,7,41,9,7,50,11,8,64
5,7,34,7,6,41,9,7,51,11,8,66
5,7,32,9,6,45,9,9,53,1,7,66
5,5,32,7,6,43,11,6,49,1,7,62
15,6,31,7,5,41,11,6,45,1,7,64
15,8,39,7,6,44,11,7,49,11,7,63
15,10,41,7,7,52,1,6,50,11,8,71
15,10,43,7,6,48,1,6,47,1,8,68
15,9,38,7,6,43,9,6,45,1,7,66
15,9,34,7,6,44,1,5,44,1,7,64
15,9,37,7,5,38,1,5,44,1,7,65
15,7,37,7,7,42,9,6,43,1,7,65
5,6,36,7,6,45,9,8,54,5,8,69
5,10,32,9,5,34,9,7,50,5,8,66
5,9,30,9,6,32,9,8,49,1,7,66
5,6,35,7,6,43,9,8,49,11,8,64
5,6,38,9,6,45,9,6,48,11,8,64
5,6,34,7,4,35,9,6,44,11,7,59
15,6,34,7,5,40,9,6,42,11,7,56
5,5,29,7,5,39,1,5,45,11,7,57
5,6,33,7,5,40,9,7,45,1,7,64
15,7,37,9,7,41,9,8,46,1,8,64
15,7,34,17,7,46,1,6,47,1,8,70
15,8,41,7,7,53,9,8,52,1,8,73
15,9,41,7,6,47,1,6,49,1,8,78
15,8,40,7,6,49,11,7,54,1,9,77
15,6,36,7,6,44,1,6,44,1,8,74
15,8,37,9,6,44,9,8,52,1,8,71
0,0,0,11,3,19,1,4,34,1,5,40
15,6,26,7,6,38,9,5,36,1,5,45
5,4,25,7,5,38,9,7,45,11,6,45
9,6,29,9,7,37,9,9,47,11,7,51
9,8,28,9,10,36,9,12,52,1,6,51
9,8,26,9,10,48,9,11,55,1,6,49
9,8,33,9,10,49,9,11,52,1,6,51
9,10,32,9,13,53,9,15,59,11,7,60
9,13,42,9,16,59,9,17,56,1,6,48
9,14,39,9,16,56,9,17,59,1,6,54
9,15,40,9,17,54,9,18,57,11,6,51
9,16,43,9,18,57,9,19,60,1,6,50
9,15,42,9,18,56,9,19,62,1,6,51
9,16,42,9,19,53,9,19,61,1,6,52
9,18,49,9,20,56,9,19,59,1,6,48
9,19,50,9,20,57,9,19,64,1,6,59
9,20,55,9,20,62,9,20,63,9,7,59
9,20,52,9,20,60,9,19,57,11,7,55
9,20,46,9,20,57,9,19,57,1,7,52
9,20,52,9,20,57,9,19,61,11,6,55
9,20,51,9,20,57,9,19,63,11,7,54
9,20,45,9,20,54,9,19,66,11,7,53
9,20,42,9,20,52,9,19,61,11,6,52
9,20,48,9,20,64,9,19,64,9,7,61
9,20,49,9,20,63,9,19,70,9,10,67
9,20,48,9,20,65,9,19,70,11,8,61
9,20,51,9,20,67,9,19,66,9,12,67
9,20,50,9,20,65,9,19,66,1,7,55
9,20,48,9,20,59,9,19,66,11,7,52
9,20,49,9,20,70,9,19,69,9,13,65
9,20,47,9,20,66,9,19,65,1,7,58
9,20,54,9,20,64,9,19,64,9,9,61
9,20,45,9,20,59,9,19,57,11,7,53
9,20,53,9,20,61,9,19,66,9,14,67
9,19,51,9,19,58,9,18,61,9,10,58
9,20,47,9,20,59,9,19,65,9,9,63
9,20,48,9,20,62,9,19,59,1,6,53
9,20,37,9,20,55,9,19,64,1,6,56
9,20,39,9,20,49,9,20,63,9,8,59
9,20,37,9,20,49,9,19,57,11,7,50
9,20,41,9,20,55,9,19,61,1,6,53
9,20,44,9,20,67,9,19,75,9,13,68
9,20,42,9,20,56,9,19,60,1,6,50
9,20,38,9,20,56,9,19,58,1,6,52
9,20,37,9,20,55,9,19,58,11,6,51
9,20,40,9,20,55,9,19,56,11,6,50
9,20,42,9,20,70,9,20,70,9,13,65
9,20,43,9,20,64,9,19,68,9,12,64
9,20,46,9,20,64,9,19,62,1,6,54
9,20,47,9,20,67,9,19,66,1,7,57
0,0,0,1,2,8,11,4,25,1,4,35
5,5,29,8,5,31,1,5,40,11,6,40
5,4,27,7,5,38,9,6,39,1,6,46
5,5,29,9,6,32,9,8,43,11,6,42
9,6,30,9,9,35,9,10,46,2,6,49
9,9,35,9,11,45,9,12,54,11,6,47
9,10,38,9,12,46,9,13,51,11,6,52
9,12,39,9,13,48,9,16,59,1,6,53
9,15,48,9,16,56,9,19,63,11,8,59
9,18,53,9,19,58,9,19,62,11,6,49
9,17,48,9,19,56,9,19,62,1,6,57
9,18,54,9,19,55,9,19,62,11,7,58
9,19,50,9,20,53,9,20,60,1,7,58
9,19,50,9,20,52,9,19,57,11,7,55
9,20,55,9,20,56,9,19,58,1,6,52
9,20,54,9,20,54,9,19,56,1,6,54
9,20,56,9,20,54,9,19,53,11,6,53
9,20,55,9,20,53,9,20,61,1,6,54
9,20,51,9,20,56,9,19,58,2,6,53
9,20,52,9,20,54,9,19,61,1,6,49
9,20,41,9,20,40,9,19,51,1,6,44
9,20,44,9,20,48,9,19,56,1,5,48
9,20,50,9,20,49,9,19,53,11,6,49
9,20,52,9,20,50,9,19,56,9,7,53
9,20,46,9,20,48,9,20,54,12,6,49
9,20,49,9,20,52,9,19,57,11,6,44
9,20,45,9,20,45,9,19,52,1,5,41
9,20,47,9,20,50,9,19,52,1,6,44
9,20,47,9,20,49,9,19,52,9,7,51
9,20,51,9,20,50,9,19,56,1,5,42
9,20,48,9,20,49,9,19,53,1,6,53
9,20,50,9,20,52,9,19,53,1,6,48
9,20,57,9,20,53,9,19,55,9,10,57
9,20,51,9,20,47,9,20,47,1,5,40
9,20,53,9,20,51,9,19,51,9,7,47
9,20,51,9,20,48,9,19,51,9,6,45
9,20,47,9,20,46,9,20,44,9,6,39
9,20,44,9,20,46,9,19,47,1,5,41
9,20,50,9,20,54,9,20,50,1,5,47
9,20,43,9,20,43,9,19,51,11,7,49
9,20,44,9,20,41,9,19,50,11,6,49
9,20,48,9,20,51,9,19,50,12,7,52
9,20,49,9,20,53,9,19,55,11,6,49
9,19,49,9,20,52,9,20,54,11,6,50
9,16,41,9,17,43,9,17,47,11,6,47
9,12,40,9,13,42,9,14,48,11,6,47
9,7,37,9,8,38,9,8,39,11,7,51
5,6,32,7,4,34,1,5,38,11,7,51
5,6,31,8,5,33,9,6,37,11,6,50
15,7,32,7,4,32,1,6,43,1,6,56
0,0,0,11,3,17,11,4,25,1,4,35
5,5,29,7,5,34,1,4,34,1,5,39
5,5,33,8,6,40,1,5,35,1,6,49
5,5,30,7,5,34,9,5,34,1,5,40
9,4,22,9,5,30,9,6,34,11,7,43
9,6,25,9,9,40,9,9,41,11,7,53
9,6,34,9,8,53,9,9,43,11,6,41
5,4,28,9,7,41,9,7,38,1,5,44
17,5,30,7,6,50,9,8,45,11,6,45
7,4,28,7,6,49,9,7,43,1,6,50
9,7,33,9,8,51,9,10,47,11,6,44
9,6,34,9,9,53,9,8,42,11,6,47
7,5,36,9,7,50,9,8,41,1,5,47
9,8,34,9,11,48,9,11,42,1,5,46
9,10,34,9,13,55,9,13,49,11,6,46
9,10,35,9,14,55,9,14,52,1,5,46
9,13,42,9,16,56,9,17,49,1,6,48
9,16,43,9,18,58,9,18,52,11,6,50
9,17,43,9,20,63,9,20,59,2,6,54
9,18,47,9,20,61,9,19,55,1,5,45
9,19,47,9,20,66,9,19,58,11,6,52
9,20,50,9,20,63,9,19,57,11,6,42
9,20,39,9,20,50,9,19,53,1,5,43
9,18,39,9,20,55,9,19,55,1,6,54
9,19,44,9,20,60,9,19,57,11,6,50
9,19,50,9,20,64,9,20,63,11,8,55
9,19,45,9,20,62,9,19,56,11,7,48
9,20,43,9,20,59,9,19,60,1,6,55
9,20,49,9,20,65,9,19,62,1,7,59
9,20,49,9,20,63,9,19,61,12,7,60
9,18,50,9,20,64,9,20,53,1,6,52
9,15,44,9,18,68,9,18,57,1,7,59
9,14,44,9,16,68,9,18,58,1,6,57
9,11,39,9,15,62,9,15,51,1,6,50
9,12,39,9,13,51,9,14,49,1,6,52
9,11,39,9,12,53,9,14,48,1,7,50
9,11,42,9,14,57,9,14,50,1,6,50
9,13,44,9,15,56,9,16,50,1,6,51
9,12,43,9,15,52,9,15,49,11,6,52
9,14,42,9,17,48,9,18,56,11,7,62
9,17,44,9,19,50,9,19,55,9,7,63
9,18,54,9,20,61,9,19,53,11,7,57
9,16,46,9,18,59,9,18,52,11,7,55
9,10,38,9,12,49,9,12,45,11,7,54
9,5,30,9,7,44,9,8,43,1,7,54
17,5,32,7,6,44,1,5,36,1,6,55
5,5,34,7,6,51,1,6,42,1,7,57
5,7,36,9,7,46,9,7,42,1,6,58
15,7,40,7,6,46,9,7,41,1,6,55
15,7,39,17,7,48,9,6,39,1,6,55
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,6,37,1,5,36,1,6,45
7,5,25,7,5,32,9,6,36,1,5,42
5,5,30,7,5,32,9,6,37,1,5,42
5,5,34,9,6,31,9,7,39,1,5,43
5,5,31,7,5,36,9,5,37,1,6,44
5,5,38,7,7,47,9,7,42,1,5,44
5,5,33,8,6,43,9,6,40,1,6,48
7,6,43,7,7,48,9,8,40,11,6,51
9,8,46,9,10,53,9,11,44,12,6,47
9,7,40,9,8,45,9,9,42,1,5,49
7,6,40,7,7,49,9,6,40,11,6,44
7,6,37,7,7,39,9,8,43,1,6,44
5,6,37,7,7,39,9,8,41,1,6,45
7,7,44,9,9,47,9,10,43,1,5,47
9,9,47,9,10,46,9,12,45,1,5,43
9,8,52,9,9,45,9,10,35,1,5,45
9,9,49,9,10,43,9,10,40,1,5,49
5,9,50,9,10,43,9,11,44,5,5,45
5,9,48,9,10,41,9,12,43,1,5,46
5,8,37,9,8,36,9,8,39,11,6,43
15,5,30,7,4,30,1,4,32,1,5,45
5,6,41,7,6,36,9,6,37,11,6,50
7,7,44,7,7,40,11,6,44,11,7,54
5,7,40,9,6,41,9,6,40,11,7,52
5,6,36,9,6,37,9,8,42,11,6,42
15,6,36,7,6,39,9,6,37,11,6,41
15,6,39,7,5,37,9,6,38,1,5,41
15,8,40,7,6,36,9,5,34,11,6,44
15,8,40,7,6,38,9,5,38,1,5,42
15,8,36,7,5,38,9,6,34,15,5,42
15,8,40,9,8,39,9,7,36,1,5,42
15,8,41,9,9,37,9,9,38,1,5,43
15,8,35,9,6,36,9,6,36,1,5,39
15,9,35,7,5,32,1,4,35,11,5,39
15,6,38,7,6,39,9,6,37,1,5,40
15,6,38,7,5,37,9,6,39,1,5,41
5,7,36,9,6,30,9,7,38,1,5,40
5,7,34,9,9,28,9,10,42,1,6,49
9,8,36,9,10,37,9,11,44,1,5,43
9,10,42,9,12,43,9,13,43,11,5,42
9,9,39,9,10,40,9,11,41,11,6,41
9,9,36,9,10,35,9,10,38,11,5,43
9,7,33,9,8,36,9,10,39,11,6,46
5,6,38,9,6,33,9,6,36,11,6,43
5,5,33,7,5,32,1,5,37,1,6,49
5,5,32,7,4,34,9,6,41,1,6,49
15,7,35,9,7,34,9,8,41,1,6,49
15,8,39,7,5,36,9,7,37,11,6,51
15,6,38,18,7,42,9,6,42,1,5,47
0,0,0,11,3,17,1,4,35,1,5,42
5,5,26,7,6,34,9,5,36,1,5,43
15,5,26,7,5,35,9,7,42,11,6,44
9,5,26,9,6,32,9,8,46,11,6,47
5,5,27,9,6,31,9,8,47,11,6,46
9,6,29,9,8,40,9,8,46,11,6,45
9,6,32,9,8,41,9,10,44,11,6,48